tweet,mentions,replies_count,retweets_count,likes_count,hashtags,reply_to,link,list_likes,list_retweets,list_replies
"Kalau tidak salah baca datanya.  Kemarin 20 maret, dalam satu hari ada penambahan 1.937 kasus covid baru di Jakarta.   Berapa jumlah pemberian vaksin per hari di @DKIJakarta ? Yakin libur lebaran diijinkan mudik?.","[{'screen_name': 'dkijakarta', 'name': 'pemprov dki jakarta', 'id': '166014938'}]",2,4,5,[],[],https://twitter.com/infojakarta/status/1373529155304706054,"['@FitriRamadhian2', '@chiko_jubilee', '@FebriYa84603488', '', '', '', '', '', '', '', '@kompascom', '@kompascom', '', '']","['@akoemala', '@nutanews184', '@liranti', '', '', '', '', '', '', '', '', '', '@DailyHomePics', '@karirfess', '@karirfess', '@kompascom', '', '', '', '']","['@infojakarta', '@DKIJakarta', '@chiko_jubilee']"
"Vaksin lansia di @UnikaAtmaJaya  Terbuka untuk umum, tidak dipungut biaya.  https://t.co/jazKrbTvkE","[{'screen_name': 'unikaatmajaya', 'name': 'unika atma jaya', 'id': '208480486'}]",0,12,13,[],[],https://twitter.com/infojakarta/status/1372218371442319360,"['@Nursanti87', '@sermawati', '@lalilulouie', '@chiko_jubilee', '@fmsyaah', '@audityaaaaa', '@Kumsky', '@suzestful', '@non_Dindun', '@gamakicay', '@iDwfxx232', '', '', '', '', '', '', '', '@kompascom', '@CenayangFilm', '', '', '', '', '']","['@Desta412', '@Hamdiees', '@wenntyputri', '@chiko_jubilee', '@maharetweet', '@nutanews184', '@vonnysu', '@Chocomilksugar', '@non_Dindun', '', '', '', '', '', '', '', '', '', '@DailyHomePics', '@karirfess', '@karirfess', '@kompascom', '', '', '', '']",['@infojakarta']
Lansia dengan ktp daerah manapun bisa mendapatkan vaksin di istora senayan. Daftar online atau langsung datang.    https://t.co/hAYz3XZXBy,[],0,5,8,[],[],https://twitter.com/infojakarta/status/1372150088248664068,"['@MarwanAdam12', '@dhatamapertiwi', '@RiaWasta', '@Nenglin7', '@chiko_jubilee', '@WongMbambung8', '', '', '', '', '', '', '', '@kompascom', '@CenayangFilm', '', '', '', '', '', '']","['@Hamdiees', '@gilangandriani', '@chiko_jubilee', '', '', '', '', '', '', '', '', '', '@DailyHomePics', '@karirfess', '@karirfess', '@kompascom', '', '', '', '']",['@infojakarta']
"Pelaku industri pariwisata di Jakarta, apakah sudah ada yang menerima vaksin?",[],0,0,3,[],[],https://twitter.com/infojakarta/status/1371706352549040133,"['@ValentinoMaiti3', '@sonsofartemis', '', '', '', '', '', '', '', '@kompascom', '@CenayangFilm', '', '', '', '', '', '']",[],"['@infojakarta', '@detikcom']"
"Bergerak pararel.  Vaksin jalan, pariwisata bersiap.  Indonesia harus kembali lebih kuat. Semangat, seperti ""yeaaah !"" nya @sandiuno","[{'screen_name': 'sandiuno', 'name': 'sandiaga salahuddin uno', 'id': '132041617'}]",0,1,2,[],[],https://twitter.com/infojakarta/status/1366579485793939456,"['@JupriSetiawan91', '', '', '', '', '', '', '', '@kompascom', '@CenayangFilm', '', '', '', '', '', '']","['@faqihiqaf', '', '', '', '', '', '', '', '', '@kompascom', '@bwifess', '@kompascom', '', '', '']","['@infojakarta', '@sandiuno']"
Vaksin Sinovac.. Halal.   https://t.co/RSc3G6lRXr,[],3,6,17,[],[],https://twitter.com/infojakarta/status/1347527216444280834,"['@fandizuma1', '@fdlyamubakhira', '@Sandy20186011', '@inyongcisauk', '@Chandra03866864', '@AliceTahya', '@JoiceYusriani', '@sslatifm', '@dhiba03', '@arinooradnan', '@B54Pei', '@Dun_Vad', '', '', '', '', '', '', '', '@kompascom', '@CenayangFilm', '', '', '', '', '', '']","['@fitrywhys', '@Jojonanajam', '@suleman_ahmda', '@wulanramdhoni', '', '', '', '', '', '', '', '', '@kompascom', '@bwifess', '@DailyHomePics', '', '', '', '']","['@infojakarta', '@PutraWilson']"
"Program vaksin gratis, estimasi anggaran yang harus disiapkan pemerintah sekitar 133 triliun rupiah.   https://t.co/uvfSsbwlDS",[],0,0,1,[],[],https://twitter.com/infojakarta/status/1339812480646713346,"['@oleeenk', '', '', '', '', '', '', '', '@kompascom', '@CenayangFilm', '', '', '', '', '']",[],['@infojakarta']
Harga vaksin Covid-19.  https://t.co/taKxMdi15q,[],81,324,615,[],[],https://twitter.com/infojakarta/status/1338462339717206017,"['@fahri1672', '@rizkaidayenti', '@felist_su', '@kabensqy', '@amanndada', '@trisnainia', '@weirdsashimi', '@fjrrizki29', '@IndraAdam99', '@ATtamadhan11', '@aruelsederhana', '@Shareffy_MBceLL', '@alshqueensha', '@peachyzan', '@listia_home', '@Dwi_montero46', '@dhantiti', '@codri_c', '@eiyzlananemone', '@BThrifting', '@titoprabowo', '@erikasantibanes', '@adriationo', '@fileilmuhammad', '', '', '', '', '', '', '', '@kompascom', '@CenayangFilm', '', '', '', '', '', '']","['@Lotus_Pandas', '@cahayasastra', '@bougieslight', '@jeni_prabandari', '@listia_home', '@onaplanet00', '@Maximodeus', '@dhantiti', '@rizaky_syifa', '@nu_kinneas', '@codri_c', '@eiyzlananemone', '@BThrifting', '@liuawaroka', '@yosuapancasp', '@KikiRoza', '@AbahSelalu', '@luvluvi', '@Sintaeml', '@fantasyblund', '@RockyAntono', '@karuniatria', '@lanamalvina', '@asadfrhn', '@ViwMre', '', '', '', '', '', '', '', '', '', '', '@sbyfess', '@codingfess', '@sbyfess', '@tubirfess', '@kompascom', '', '', '', '']","['@infojakarta', '@riskawindayln', '@1nstantkarm4', '@adhepedrosa', '@ImmanuelOwen', '@danlaksana', '@Malala181321', '@NinoRahadian', '@NinoRahadian', '@misbah_dadan', '@ejp_joker', '@yasmnfs', '@romadalimunthe', '@MuhammadLukman_', '@ketekniall', '@JAmsterdam7', '@NovalSyawal', '@bangopang_', '@abdulmuisme', '@misseca__', '@adityawijaya', '@rakaadtya21', '@cillresdy', '@ajfrm_', '@seokaim', '@chernobyl_9', '@aldinohendrwn', '@Wicaksono_sini', '@panikpanikk', '@Rizky_Gendon']"
"Breaking News.  1,2 Juta Vaksin Covid 19 sudah tiba di Tanah Air.  https://t.co/zYrrsAXAzO",[],9,8,23,[],[],https://twitter.com/infojakarta/status/1335764645575999491,"['@Louis68109379', '@bobacotttt2', '@DarusmanDarsa', '@JokerMaa', '@RamadhonAdi', '@sabirsultan69', '@AlfianMaulanaA9', '@riuz_delau', '@swnpp3', '@benedictus_sk', '@fanylevvv', '@d_iickay', '@adendidi58', '@ariefafro', '@msyafii02905921', '@HIkmatzhh', '@sushijunkiee', '@kevonvn__', '', '', '', '', '', '', '', '@kompascom', '@CenayangFilm', '', '', '', '', '', '']","['@NandoMahubessy', '@ardiyantosusilo', '@bellaazhr', '@yodhani', '@AnnaTham7', '@annishanh', '', '', '', '', '', '', '', '', '', '', '@sbyfess', '@codingfess', '@sbyfess', '@tubirfess', '@kompascom', '', '', '', '']","['@infojakarta', '@infojakarta', '@Rizky_Gendon', '@yusamhr', '@lyfes_hit', '@sikanseu']"
Bye Covid !  Pemerintah memastikan program vaksinasi Covid-19 akan dimulai pada awal November 2020. Indonesia akan mengandalkan vaksin buatan China.   https://t.co/LWWw94Blxb,[],30,33,58,[],[],https://twitter.com/infojakarta/status/1315506327037255686,"['@louiuli', '@BayuHendry4', '@muliadi40439023', '@inyongcisauk', '@sambateverytim', '@DiahSiwa', '@marianekuswari', '@nh_wijaya', '@RiusSimanungka3', '@triomarleyano', '@tambunan10', '@_babehnino', '@andikoarya', '@AprianyLina', '@Rifkimuhammadd', '@itsyounqman', '@yudamuniran', '@AudinaSaleh', '@abilismail', '@Urmineee_1', '@riyankopite', '@starks_real', '@decvtared', '@ditanovsa', '@Daseyt2', '', '', '', '', '', '', '', '@kompascom', '@CenayangFilm', '', '', '', '', '', '']","['@hafshahsirin', '@marianekuswari', '@triomarleyano', '@priyankhana', '@meipakz31', '@cacashasya', '@ndalillah24', '@zidanariqzidan', '@changeyournamee', '@reinaldey', '@MMarwanmanurung', '@Alchakim', '@muhamadaziim', '@starks_real', '@gitaindrianaaa', '@tyo78766711', '@YussufiDyas', '@febrina_02', '@ariaraywidodo', '', '', '', '', '', '', '', '', '', '', '@sbyfess', '@codingfess', '@sbyfess', '@tubirfess', '@kompascom', '', '', '', '']","['@infojakarta', '@Maxgirl13', '@Agus1892', '@megane_brai', '@WibowoLukito', '@RemajaKolonial', '@Arie_16', '@herry28290', '@MisterClown8', '@cillresdy', '@Arie_16', '@teyeng37', '@babyoil008', '@christofer_bhp', '@rinihaphap', '@okkyjoeamstrong', '@Vinaagy', '@babangbetawie', '@WithOneWithYou', '@febri_aku', '@diiiaaannnP', '@Andreassgs', '@BintCeo', '@prasthialdrii', '@iamcakekhe']"
